               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,              0.1067,             0.15688,           0.0050251,             0.71537,             0.62001,             0.60208,             0.19285,            0.095712,             0.12824,           0.0045435,             0.00601,             0.00601,             0.00601
                 135,             0.10594,             0.16052,            0.004959,             0.72863,             0.61225,             0.60427,              0.1945,            0.095644,             0.12831,            0.004583,             0.00598,             0.00598,             0.00598
                 136,             0.10571,             0.15434,           0.0048403,             0.73321,             0.61965,             0.61293,             0.19723,            0.095448,             0.12763,           0.0045477,             0.00595,             0.00595,             0.00595
                 137,             0.10523,             0.15049,           0.0050705,             0.71952,              0.6167,             0.60397,             0.19289,            0.095614,             0.12769,           0.0045606,             0.00592,             0.00592,             0.00592
                 138,             0.10499,             0.15393,           0.0051242,             0.72222,             0.61438,             0.60119,             0.19525,            0.095527,             0.12851,           0.0045917,             0.00589,             0.00589,             0.00589
                 139,             0.10471,             0.15684,           0.0048534,             0.74046,             0.61955,             0.61493,             0.19999,            0.095466,             0.12748,           0.0046322,             0.00586,             0.00586,             0.00586
                 140,             0.10593,             0.15611,           0.0051474,             0.74137,             0.62374,              0.6152,             0.19599,            0.095562,               0.128,           0.0045497,             0.00583,             0.00583,             0.00583
                 141,              0.1056,             0.15244,           0.0052686,             0.72349,                0.62,              0.6041,             0.19519,            0.095575,             0.12833,           0.0045374,              0.0058,              0.0058,              0.0058
                 142,             0.10622,             0.16471,            0.004631,             0.72105,             0.62255,             0.61291,             0.19544,            0.095615,             0.12851,           0.0045554,             0.00577,             0.00577,             0.00577
                 143,             0.10465,             0.15598,           0.0049333,             0.72492,              0.6211,             0.60243,              0.1937,            0.095683,             0.12897,           0.0045493,             0.00574,             0.00574,             0.00574
                 144,             0.10452,             0.15663,           0.0047324,              0.7312,             0.62699,              0.6132,             0.19658,            0.095521,             0.12854,           0.0045233,             0.00571,             0.00571,             0.00571
                 145,             0.10558,             0.15928,           0.0052828,             0.73829,             0.61747,             0.61527,             0.19589,            0.095571,             0.12946,           0.0045257,             0.00568,             0.00568,             0.00568
                 146,             0.10499,             0.15846,           0.0049141,             0.71986,              0.6185,             0.60496,             0.19343,             0.09568,             0.12901,           0.0045749,             0.00565,             0.00565,             0.00565
                 147,             0.10496,             0.15358,           0.0049966,             0.73595,             0.62682,             0.61552,              0.1979,            0.095506,             0.12854,           0.0045859,             0.00562,             0.00562,             0.00562
                 148,             0.10504,             0.15486,           0.0053085,             0.73068,             0.61436,             0.60891,             0.19371,            0.095701,             0.12885,           0.0045786,             0.00559,             0.00559,             0.00559
                 149,             0.10621,             0.16369,           0.0051292,              0.7222,             0.62218,             0.60811,             0.19279,            0.095644,             0.12916,           0.0045695,             0.00556,             0.00556,             0.00556
                 150,             0.10637,             0.15588,           0.0051235,             0.74189,             0.61585,             0.60947,             0.19329,            0.095687,             0.12916,           0.0045523,             0.00553,             0.00553,             0.00553
                 151,             0.10392,             0.15052,           0.0050076,             0.72638,             0.61695,             0.60809,             0.19551,            0.095682,             0.12854,           0.0046006,              0.0055,              0.0055,              0.0055
                 152,             0.10639,             0.15932,           0.0048134,             0.72643,             0.61731,              0.6024,             0.19414,            0.095604,             0.12848,           0.0045041,             0.00547,             0.00547,             0.00547
                 153,             0.10592,             0.16411,           0.0051878,             0.72568,             0.62063,             0.60445,             0.19473,            0.095551,             0.12978,           0.0045184,             0.00544,             0.00544,             0.00544
                 154,             0.10558,             0.16026,           0.0048411,              0.7146,             0.61955,             0.60308,              0.1929,            0.095756,             0.12944,           0.0045695,             0.00541,             0.00541,             0.00541
                 155,             0.10517,             0.16269,           0.0051075,             0.71847,             0.61765,             0.60295,             0.19498,            0.095553,             0.13016,           0.0045669,             0.00538,             0.00538,             0.00538
                 156,             0.10609,             0.16244,           0.0050126,             0.72672,             0.61273,             0.60469,             0.19223,            0.095639,             0.12957,           0.0045391,             0.00535,             0.00535,             0.00535
